game_id,season,week,game_type,home_team,away_team,home_score,away_score,total_points,gameday,gametime,kickoff_utc,stadium,roof,dome_indicator,temperature,wind_speed,precipitation,T_norm,T_prime,E_W,E_T,L_close,L_open,over_odds,under_odds,over_implied_prob,under_implied_prob,overround,p_over_vigfree,p_under_vigfree,weather_missing,odds_missing
2018_01_ATL_PHI,2018,1,REG,PHI,ATL,18,12,30,2018-09-06,20:20,2018-09-07 00:20:00+00:00,Lincoln Financial Field,outdoors,0,28.5,5.0,0.2,23.054545454545455,5.445454545454545,0,0,44.5,,-109.0,-101.0,0.5215311004784688,0.5024875621890548,0.024018662667523616,0.5092984332140034,0.49070156678599663,0,0
2018_01_BUF_BAL,2018,1,REG,BAL,BUF,47,3,50,2018-09-09,13:00,2018-09-09 17:00:00+00:00,M&T Bank Stadium,outdoors,0,17.8,29.0,1.8,22.349999999999998,-4.549999999999997,1,0,39.0,,-120.0,109.0,0.5454545454545454,0.4784688995215311,0.02392344497607657,0.5327102803738317,0.4672897196261682,0,0
2018_01_PIT_CLE,2018,1,REG,CLE,PIT,21,21,42,2018-09-09,13:00,2018-09-09 17:00:00+00:00,FirstEnergy Stadium,outdoors,0,15.0,28.2,1.0,21.064285714285713,-6.064285714285713,1,0,41.0,,-108.0,-102.0,0.5192307692307693,0.504950495049505,0.024181264280274117,0.5069715560513107,0.4930284439486894,0,0
2018_01_CIN_IND,2018,1,REG,IND,CIN,23,34,57,2018-09-09,13:00,2018-09-09 17:00:00+00:00,Lucas Oil Stadium,closed,1,,,,,,0,0,47.5,,-110.0,100.0,0.5238095238095238,0.5,0.023809523809523725,0.5116279069767442,0.48837209302325585,0,0
2018_01_TEN_MIA,2018,1,REG,MIA,TEN,27,20,47,2018-09-09,13:00,2018-09-09 17:00:00+00:00,Hard Rock Stadium,outdoors,0,30.2,5.6,0.2,30.623076923076926,-0.4230769230769269,0,0,43.5,,-109.0,-101.0,0.5215311004784688,0.5024875621890548,0.024018662667523616,0.5092984332140034,0.49070156678599663,0,0
2018_01_SF_MIN,2018,1,REG,MIN,SF,24,16,40,2018-09-09,13:00,2018-09-09 17:00:00+00:00,U.S. Bank Stadium,dome,1,,,,,,0,0,46.5,,-104.0,-106.0,0.5098039215686274,0.5145631067961165,0.024367028364743915,0.497677011707861,0.5023229882921391,0,0
2018_01_HOU_NE,2018,1,REG,NE,HOU,27,20,47,2018-09-09,13:00,2018-09-09 17:00:00+00:00,Gillette Stadium,outdoors,0,16.7,15.3,0.0,21.883333333333336,-5.183333333333337,0,0,49.5,,-119.0,108.0,0.54337899543379,0.4807692307692308,0.024148226203020817,0.5305667495498585,0.46943325045014145,0,0
2018_01_TB_NO,2018,1,REG,NO,TB,40,48,88,2018-09-09,13:00,2018-09-09 17:00:00+00:00,Mercedes-Benz Superdome,dome,1,,,,,,0,0,50.0,,-113.0,102.0,0.5305164319248826,0.49504950495049505,0.02556593687537756,0.5172913928296243,0.4827086071703758,0,0
2018_01_JAX_NYG,2018,1,REG,NYG,JAX,15,20,35,2018-09-09,13:00,2018-09-09 17:00:00+00:00,MetLife Stadium,outdoors,0,15.0,16.4,0.7,22.053846153846152,-7.053846153846152,0,0,43.0,,-114.0,103.0,0.5327102803738317,0.49261083743842365,0.025321117812255434,0.5195545777019441,0.48044542229805576,0,0
2018_01_KC_LAC,2018,1,REG,LAC,KC,28,38,66,2018-09-09,16:05,2018-09-09 20:05:00+00:00,StubHub Center,outdoors,0,31.2,13.5,0.0,29.025,2.1750000000000007,0,0,48.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_01_WAS_ARI,2018,1,REG,ARI,WAS,6,24,30,2018-09-09,16:25,2018-09-09 20:25:00+00:00,State Farm Stadium,closed,1,,,,,,0,0,43.5,,102.0,-112.0,0.49504950495049505,0.5283018867924528,0.023351391742947758,0.4837531945965681,0.5162468054034319,0,0
2018_01_DAL_CAR,2018,1,REG,CAR,DAL,16,8,24,2018-09-09,16:25,2018-09-09 20:25:00+00:00,Bank of America Stadium,outdoors,0,27.9,13.2,0.2,27.15833333333333,0.7416666666666671,0,0,42.5,,-116.0,105.0,0.5370370370370371,0.4878048780487805,0.02484191508581768,0.5240193918025562,0.4759806081974437,0,0
2018_01_SEA_DEN,2018,1,REG,DEN,SEA,27,24,51,2018-09-09,16:25,2018-09-09 20:25:00+00:00,Sports Authority Field at Mile High,outdoors,0,28.9,4.5,0.0,26.308333333333334,2.591666666666665,0,0,42.5,,-106.0,-104.0,0.5145631067961165,0.5098039215686274,0.024367028364743915,0.5023229882921391,0.497677011707861,0,0
2018_01_CHI_GB,2018,1,REG,GB,CHI,24,23,47,2018-09-09,20:20,2018-09-10 00:20:00+00:00,Lambeau Field,outdoors,0,14.9,6.3,0.0,20.36923076923077,-5.469230769230771,0,0,45.0,,-113.0,102.0,0.5305164319248826,0.49504950495049505,0.02556593687537756,0.5172913928296243,0.4827086071703758,0,0
2018_01_NYJ_DET,2018,1,REG,DET,NYJ,17,48,65,2018-09-10,19:10,2018-09-10 23:10:00+00:00,Ford Field,dome,1,,,,,,0,0,44.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_01_LA_OAK,2018,1,REG,OAK,LA,13,33,46,2018-09-10,22:20,2018-09-11 02:20:00+00:00,Oakland-Alameda County Coliseum,outdoors,0,18.2,8.7,0.0,19.575,-1.375,0,0,47.5,,-108.0,-102.0,0.5192307692307693,0.504950495049505,0.024181264280274117,0.5069715560513107,0.4930284439486894,0,0
2018_02_BAL_CIN,2018,2,REG,CIN,BAL,34,23,57,2018-09-13,20:20,2018-09-14 00:20:00+00:00,Paul Brown Stadium,outdoors,0,25.0,4.5,0.0,23.036363636363635,1.9636363636363647,0,0,43.0,,-103.0,-107.0,0.5073891625615764,0.5169082125603864,0.02429737512196284,0.4953533757725013,0.5046466242274987,0,0
2018_02_CAR_ATL,2018,2,REG,ATL,CAR,31,24,55,2018-09-16,13:00,2018-09-16 17:00:00+00:00,Mercedes-Benz Stadium,closed,1,,,,,,0,0,44.0,,-108.0,-102.0,0.5192307692307693,0.504950495049505,0.024181264280274117,0.5069715560513107,0.4930284439486894,0,0
2018_02_LAC_BUF,2018,2,REG,BUF,LAC,20,31,51,2018-09-16,13:00,2018-09-16 17:00:00+00:00,New Era Field,outdoors,0,27.7,2.3,0.0,21.418181818181818,6.281818181818181,0,0,41.5,,-102.0,-108.0,0.504950495049505,0.5192307692307693,0.024181264280274117,0.4930284439486894,0.5069715560513107,0,0
2018_02_MIN_GB,2018,2,REG,GB,MIN,29,29,58,2018-09-16,13:00,2018-09-16 17:00:00+00:00,Lambeau Field,outdoors,0,27.1,12.6,0.1,20.36923076923077,6.73076923076923,0,0,45.0,,-100.0,-110.0,0.5,0.5238095238095238,0.023809523809523725,0.48837209302325585,0.5116279069767442,0,0
2018_02_CLE_NO,2018,2,REG,NO,CLE,21,18,39,2018-09-16,13:00,2018-09-16 17:00:00+00:00,Mercedes-Benz Superdome,dome,1,,,,,,0,0,51.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_02_MIA_NYJ,2018,2,REG,NYJ,MIA,12,20,32,2018-09-16,13:00,2018-09-16 17:00:00+00:00,MetLife Stadium,outdoors,0,26.8,3.1,0.0,21.481818181818184,5.318181818181817,0,0,43.0,,-106.0,-104.0,0.5145631067961165,0.5098039215686274,0.024367028364743915,0.5023229882921391,0.497677011707861,0,0
2018_02_KC_PIT,2018,2,REG,PIT,KC,37,42,79,2018-09-16,13:00,2018-09-16 17:00:00+00:00,Heinz Field,outdoors,0,25.7,14.8,0.0,22.458333333333332,3.241666666666667,0,0,52.0,,103.0,-114.0,0.49261083743842365,0.5327102803738317,0.025321117812255434,0.48044542229805576,0.5195545777019441,0,0
2018_02_PHI_TB,2018,2,REG,TB,PHI,27,21,48,2018-09-16,13:00,2018-09-16 17:00:00+00:00,Raymond James Stadium,outdoors,0,30.1,13.6,0.0,28.923076923076923,1.176923076923078,0,0,46.5,,-110.0,100.0,0.5238095238095238,0.5,0.023809523809523725,0.5116279069767442,0.48837209302325585,0,0
2018_02_HOU_TEN,2018,2,REG,TEN,HOU,20,17,37,2018-09-16,13:00,2018-09-16 17:00:00+00:00,Nissan Stadium,outdoors,0,28.7,19.2,0.0,25.536363636363635,3.163636363636364,1,0,41.0,,-100.0,-110.0,0.5,0.5238095238095238,0.023809523809523725,0.48837209302325585,0.5116279069767442,0,0
2018_02_IND_WAS,2018,2,REG,WAS,IND,9,21,30,2018-09-16,13:00,2018-09-16 17:00:00+00:00,FedExField,outdoors,0,24.6,14.5,0.5,24.108333333333334,0.49166666666666714,0,0,48.0,,-100.0,-110.0,0.5,0.5238095238095238,0.023809523809523725,0.48837209302325585,0.5116279069767442,0,0
2018_02_ARI_LA,2018,2,REG,LA,ARI,34,0,34,2018-09-16,16:05,2018-09-16 20:05:00+00:00,Los Angeles Memorial Coliseum,outdoors,0,,,,,,0,0,43.5,,-101.0,-109.0,0.5024875621890548,0.5215311004784688,0.024018662667523616,0.49070156678599663,0.5092984332140034,1,0
2018_02_DET_SF,2018,2,REG,SF,DET,30,27,57,2018-09-16,16:05,2018-09-16 20:05:00+00:00,Levi's Stadium,outdoors,0,22.9,16.3,0.0,23.3875,-0.4875000000000007,0,0,48.5,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_02_OAK_DEN,2018,2,REG,DEN,OAK,20,19,39,2018-09-16,16:25,2018-09-16 20:25:00+00:00,Sports Authority Field at Mile High,outdoors,0,32.8,9.5,0.0,26.308333333333334,6.491666666666664,0,0,44.5,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_02_NE_JAX,2018,2,REG,JAX,NE,31,20,51,2018-09-16,16:25,2018-09-16 20:25:00+00:00,TIAA Bank Stadium,outdoors,0,33.5,17.1,0.0,28.415384615384614,5.084615384615386,0,0,44.5,,-106.0,-104.0,0.5145631067961165,0.5098039215686274,0.024367028364743915,0.5023229882921391,0.497677011707861,0,0
2018_02_NYG_DAL,2018,2,REG,DAL,NYG,20,13,33,2018-09-16,20:20,2018-09-17 00:20:00+00:00,AT&T Stadium,closed,1,,,,,,0,0,42.0,,-115.0,104.0,0.5348837209302325,0.49019607843137253,0.025079799361604982,0.521797153024911,0.478202846975089,0,0
2018_02_SEA_CHI,2018,2,REG,CHI,SEA,24,17,41,2018-09-17,20:15,2018-09-18 00:15:00+00:00,Soldier Field,outdoors,0,25.9,8.0,0.0,20.62727272727273,5.27272727272727,0,0,42.5,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_03_NYJ_CLE,2018,3,REG,CLE,NYJ,21,17,38,2018-09-20,20:20,2018-09-21 00:20:00+00:00,FirstEnergy Stadium,outdoors,0,25.8,19.2,0.0,21.064285714285713,4.7357142857142875,0,0,41.0,,-106.0,-104.0,0.5145631067961165,0.5098039215686274,0.024367028364743915,0.5023229882921391,0.497677011707861,0,0
2018_03_NO_ATL,2018,3,REG,ATL,NO,37,43,80,2018-09-23,13:00,2018-09-23 17:00:00+00:00,Mercedes-Benz Stadium,closed,1,,,,,,0,0,54.0,,-106.0,-104.0,0.5145631067961165,0.5098039215686274,0.024367028364743915,0.5023229882921391,0.497677011707861,0,0
2018_03_DEN_BAL,2018,3,REG,BAL,DEN,27,14,41,2018-09-23,13:00,2018-09-23 17:00:00+00:00,M&T Bank Stadium,outdoors,0,17.5,13.3,0.7,22.349999999999998,-4.849999999999998,0,0,46.0,,-103.0,-108.0,0.5073891625615764,0.5192307692307693,0.026619931792345675,0.49423272123281353,0.5057672787671865,0,0
2018_03_CIN_CAR,2018,3,REG,CAR,CIN,31,21,52,2018-09-23,13:00,2018-09-23 17:00:00+00:00,Bank of America Stadium,outdoors,0,26.8,4.9,0.2,27.15833333333333,-0.35833333333333073,0,0,44.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_03_NYG_HOU,2018,3,REG,HOU,NYG,22,27,49,2018-09-23,13:00,2018-09-23 17:00:00+00:00,NRG Stadium,closed,1,,,,,,0,0,44.0,,102.0,-114.0,0.49504950495049505,0.5327102803738317,0.02775978532432677,0.48167822094174845,0.5183217790582515,0,0
2018_03_TEN_JAX,2018,3,REG,JAX,TEN,6,9,15,2018-09-23,13:00,2018-09-23 17:00:00+00:00,TIAA Bank Stadium,outdoors,0,29.7,12.6,0.1,28.415384615384614,1.2846153846153854,0,0,39.0,,-109.0,-102.0,0.5215311004784688,0.504950495049505,0.0264815955279738,0.5080764260660882,0.4919235739339118,0,0
2018_03_SF_KC,2018,3,REG,KC,SF,38,27,65,2018-09-23,13:00,2018-09-23 17:00:00+00:00,Arrowhead Stadium,outdoors,0,21.9,9.8,0.0,25.54,-3.6400000000000006,0,0,53.0,,-105.0,-105.0,0.5121951219512195,0.5121951219512195,0.024390243902439046,0.5,0.5,0,0
2018_03_OAK_MIA,2018,3,REG,MIA,OAK,28,20,48,2018-09-23,13:00,2018-09-23 17:00:00+00:00,Hard Rock Stadium,outdoors,0,30.2,7.8,0.2,30.623076923076926,-0.4230769230769269,0,0,46.0,,-107.0,-103.0,0.5169082125603864,0.5073891625615764,0.02429737512196284,0.5046466242274987,0.4953533757725013,0,0
